"","Link","Microorganism","Precautions","Diagnosis","Information","Epidemiology","Syndromes","Treatment","Additional Information"
"11","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20400","Bacillus","Standard Precautions","Culture and susceptibility testing. 
Anaerobes such as Bacillus spp can be missed with routine culture if sample handling and anaerobic culture conditions are not optimal. However, this species tends to be fairly aerotolerant so routine anaerobe sample handling and culture practices should be reasonably effective. 
Cytological demonstration of spores is suggestive of Bacillus or a variety of other sporeforming anaerobes.","Large, gram-positive, endospore-producing anaerobic rods.","Bacillus spp are widely distributed in the environment and are mainly non-pathogenic. Their sporeforming nature facilitates longterm environmental survival.","Beyond Bacillus anthracis (the cause of anthrax) and B. cereus (a cause of food poisoning in humans with unknown relevance in animals), most species that cause disease are relatively minor opportunists. B. subtilis and B licheniformis are likely the most important opportunists.
Occasional infections such as wound infections can be encountered. Bacillus spp have been found as causes of hospital-associated infections from contamination of biocides with spores.","Most bacilli are susceptible to a variety of antibiotics and acquired resistance is rare. Penicillins, clindamycin, chloramphenicol, macrolides, tetracyclines and many cephalosporins should be effective.
B. cereus group (B. cereus, B, thuringensis) are typically resistant to penicillins, cephalosporins and potentiated sulfonamides, and often resistant to carbapenems. Susceptibility to aminoglycosides, tetracyclines, linezolid, and vancomycin is common. There is variable susceptibility to macrolides, clindamycin, and fluoroquinolones with anaerobic activity (e.g. pradofloxacin).",""
"12","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20402","Bacteroides","Standard Precautions","Culture and susceptibility testing. 
As anaerobes with variable aerotolerance, sample handling and anaerobic culture conditions will impact the yield of culture.","This genus of anearobic Gram negative bacilli includes several species, with fragilis having the greatest clinical importance.","Bacteroides spp are common components of the commensal microbiota of humans and animals. They are among the most clinically relevant anaerobic bacteria, with the Bacteroides fragilis group having the most relevance, both in terms of risk of disease and difficulties in treating based on antimicrobial resistance. 
Infections are opportunistic, such as through breaks in the skin (e.g. wound or penetrating foreign body).","A variety of skin and soft tissue infections can be encountered, including severe infections with abscess formation, gangrenous damage and accumulation of gas in tissues.","Non-B. fragilis group species are typically susceptible to a range of antimicrobials, including:

 Metronidazole
 Clindamycin
 Chloramphenicol
 Penicillins (with or without beta-lactamase inhibitors)
 Pradofloxacin

B. fragilis group isolates can be resistant to many drugs. Potential options include

 Metronidazole (but resistance may be present)
 Amoxicillin-clavulanic acid (or other beta-lactam/beta-lactamase inhibitor combinations such as piperacillin-tazobactam). 
 Clindamycin (however resistance is not uncommon and may be increasing)
 Pradofloxacin 
 Carbapenems (may be useful but should be reserved)

B. fragilis group is also resistant to first generation cephalosporins.",""
"13","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20403","Bartonella","Standard Precautions","Diagnosis can be challenging. PCR can be used but sensitivity may be low. 
Enrichment culture before PCR can increase yield. 
Culture is possible but not routinely performed by diagnostic laboratories.
Serological testing only indicates exposure","Fastidious genus of Gram negative hemotropic bacteria. >20 species have been identified, some of which are known animal and/or human pathogens.  
The most clinically relevant species in companion animals are B. henselae and B. vinsonii berkhoffii.","Transmission is bloodborne, mainly by fleas.","","Doxycycline is a typical firstline option but Bartonella spp are also typically susceptible to doxycycline (as well as minocycline and oxytetracycline), alone or in combination with a fluoroquinoline. Treatment (especially monotherapy) is more effective at eliminating clinical signs vs eradication of infection. 
Azithromycin may also be useful.",""
"14","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20406","Bordetella bronchiseptica","Contact Precautions","Culture and PCR are used.","Small, gram-negative rods that have a coccobacillary appearance.","Upper respiratory tract commensal and opportunistic pathogen in dogs, cats and other species. 
Zoonotic infections have been reported but are rare and are of greatest risk in people with underlying respiratory or immune system diseases.","The main clinical presentation is acute upper respiratory tract infection. Progression to lower respiratory tract disease can occur.
This bacterium is one of the most common causes of canine upper respiratory disease complex (CIRDC) but can be found in a small percentage (usually <10%) of healthy dogs and a smaller percentage of cats.","Doxycycline is the drug of choice.
Resistance to amoxicillin-clavulanic acid seems to be high.",""
"15","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20407","Borrelia burgdorferi","Standard Precautions","Exposure detected through serological testing. Presence of antibodies does not mean that Lyme disease is present as exposure is much common than disease.","Gram negative, tick-borne spirochaete","Natural reservoir is predominantly small mammals.
Transmission via the black-legged tick (Ixodes scapularis) or western black-legged tick (Ixodes pacificus)","Lyme disease
 Lyme nephritis (rare)
 Very rarely can cause other sequelae such as neuroborreliosis or carditis.","Treatment is reserved for dogs with clinical evidence of Lyme disease.
Doxycycline is the main choice. Minocycline can also be used.
A variety of other antimicrobials may be effective, including amoxicillin, cefotaxime, cefovecin, azithromycin, and clarithromycin.",""
"16","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20410","Brucella melitensis","Standard Precautions","Culture is definitive but is not commonly available because of the need for enhanced laboratory biosecurity.
PCR can be performed from blood or tissue. False negatives are common, especially in clinically normal carriers.
Serological tests are used for screening and diagnosis. The sensitivity and specificity of these vary, and combination testing (e.g. RSAT followed by 2ME-RSAT, IFA or AGID) is common. Given the implications of a diagnosis, positive serological results should be confirmed with another serological test if there is not a strong clinical suspicion of disease.","Small, non-motile, coccobacillary, gram-negative bacteria. Like other Brucella, the canine adapted species B. canis can persist in reticuloendothelial tissues.","Typically, infections in Canada have been associated with imported dogs (especially dogs from Mexico). However, it is apparent that B. canis is also established in commercial breeding kennels in some regions (e.g. central Ontario).
Transmission is predominantly through breeding. Urine likely poses the next highest risk. While non-breeding transmission can occur, it is uncommon and housemates of infected dogs do not typically become infected.","Diskospondylitis
 Abortion and other reproductive problems
 Orchitis/epididymitis","Treatment options have not been well studied. Treatment can result in resolution of active clinical infections (e.g. diskospondylitis) but lifelong elimination of B. canis is not guaranteed. Some dogs relapse after even extended treatment courses.
Treatment usually consists of combinations of:

 Doxycycline
 Enrofloxacin (or another fluoroquinolone)
 Streptomycin

Animals should be spayed or neutered prior to treatment to increase the likelihood of eliminating the bacterium.
Treatment aimed at salvaging breeding is not recommended.
Treatment is typically continued until seronegativity. If that is achieved, periodic retesting should be performed to detect relapse.",""
"17","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20991","Brucella melitensis","Contact Precautions","Diagnosis is difficult. PCR and culture are definitive. Serological tests have not been well investigated in dogs. Tests targeting Brucella canis are not likely effective. Tested used for food animals (Rose Bengal rapid plate test, complement fixation test) are often used.","Small, non-motile, gram-negative bacterium that is host-adapted for swine but can affect various other species, including dogs.","This seems to be an emerging or at least increasingly recognized canine pathogen in some regions, such as Australia and some parts of the United States. 
Pigs are the reservoir so exposure to pigs (especially hunting wild pigs) or raw pork is the main risk factor.","Infections are most often subclinical. A range of often vague signs can be identified in clinical infections, similar to those seen with B. canis infections (reproductive disease, orchitis/epididymitis, lymphadenitis, arthritis, diskospondylitis).","Treatment regimens are not well established. 
A combination of rifampin and doxycycline is used in some areas. 
Required duration may be shorter than is needed for the dog-adapted B. canis, as durations as short as 6 weeks have been used.",""
"18","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20411","Campylobacter","Contact Precautions","Culture or PCR.

 Specific culture conditions (microaerophilic) are required. Campylobacter will not be isolated on routine culture.
 PCR testing that only provides genus-level information is less useful because of the variety of non- or minimally-pathogenic species that may be encountered.

Fecal smears to look for curved rods are ineffective for diagnosis because of the presence of non-pathogenic Campylobacter and other non-pathogenic curved bacteria.","Gram-negative rods that are slender, curved, and can appear gull-winged or in spiral forms.","Campylobacter spp. can be found in a high percentage of healthy individuals in some populations (e.g. kittens/puppies, animal shelters, pet stores). 
C. jejuni is the main pathogenic species. C. upsaliensis is commonly detected in dogs and its clinical relevance is often unclear. Other Campylobacter spp are less likely to cause diseasee
Commensals of the intestinal tract and reproductive tract. Transmission occurs by ingestion of contaminated food or water, or by direct contact with fecal material.
Campylobacter is an important zoonotic pathogen and dog/cat associated cases are common, particularly from new puppies and kittens.","Acute gastroenteritis is the most common clinical presentation in dogs and cats.","Treatment is not always necessary (see Campylobacteriosis guideline).
When treatment is indicated, erythromycin is the main choice.
Azithromycin, fluoroquinolones or chloramphenicol are other potential options.","https://www.wormsandgermsblog.com/files/2008/04/M1-Campylobacter-Owner11.pdf"
"19","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20412","Candida","Standard Precautions","Diagnosis is typically based on culture. 
 Cytology can be strongly suggestive.","Eukaryotic, unicellular, round or oval organisms
 More than 200 species, but C. albicans most often implicated in disease","Opportunistic infections occur sporadically. Most often, infections are in compromised hosts.","A range of opportunistic infections can be encountered, uncluding 

 Mycotic stomatitis
 Vaginitis
 Gastro-oesophageal ulcers
 Enteritis
 Cutaneous lesions
 Abortion
 Ocular lesions
 Disseminated disease
 Peritonitis
 Cystitis","Fluconazole is the treatment of choice for disseminated disease. Itraconazole may also be considered as long as infection does not include sites where it penetrates less effectively (e.g. eyes, CNS, urinary tract). Newer azoles will also be effective (e.g. voriconazole, posaconazole).
Other options include amphotericin B or caspofungin.
For infections that can be treated topically (e.g. oral infections, vaginitis), clotrimazole, miconazole or nystatin can be used.",""
"20","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20414","Chlamydia felis","Standard Precautions","PCR
 Culture can be performed but is largely restricted to research studies
 ELISA and IFA can also be performed","Gram-negative, obligate intracellular pathogen.","Cat-adapted species but has occasionally been reported in dogs. Human infection has been suggested but is unclear.
Commonly found in healthy cats, especially those living in groups. Prevalence decreases with increasing age.","Conjunctivitis is the main clinical problem but infections of the genitourinary tract, joints and lung can occur","Doxycycline is the main treatment. 
Other options include fluoroquinolones and amoxicillin/clavulanic acid. Azithromycin can be used with good clinical response but may be inferior for elimination of the bacterium. However, it has not been well investigated and azithromycin is a common alternative in humans, typically with short courses (e.g. single dose or 3 days for chlamydial conjunctivitis).
Topical treatment can be used for ocular infections but this is typically done in conjunction with systemic treatment. Topical oxytetracycline, erythromycin, chloramphenicol or a fluoroquinolone are options.",""
"21","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20416","Citrobacter","Standard Precautions","Culture","Gram-negative rods of the Enterobacterales order
 Facultative anaerobes","Opportunistic pathogens
 Disease is rare","Wound infections
 Urogenital infections","Aminoglycosides, trimethoprim-sulfa and fluoroquinolones are common options.
Many species (esp. C. freundii complex) have an inducible chromosomal AmpC that confers resistance to ampicillin, 1st, 2nd and 3rd generation cephalosporins and cefamycins. Use of 3rd generation cephalosporins in these species is not recommended, regardless of in vitro susceptibility. C. koseri produces a chromosomal penicillinase that confers resistance to ampicillin and cephalexin, and potentially 2nd and 3rd generation cephalosporins, and beta-lactam/beta-lactamase inhibitor combinations.  
Susceptibility to beta-lactam/beta-lactamase inhibitor combinations is variable and unpredictable. Newer generation combinations. (piperacillin-tazobactam) are more likely to be effective than amoxicillin-clavulanic acid",""
"22","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20419","Clostridium","Standard Precautions","Culture
 PCR can be used to detect selected species and/or toxin genes","Large, spore-forming, gram-positive rods. 
 Over 200 species, but less than 20 are pathogenic","Present in soil, feces, and the alimentary tract of animals
 Divided into four groups based on exotoxins produced (neurotoxic, histotoxic, enteropathogenic and enterotoxaemia producing, atypical)","A wide range of syndromes can be encountered, including gastrointestinal disease, soft tissue infections, neuromuscular disease (botulism, tetanus) and various opportunistic infections.","Susceptibility varies somewhat by species.
Penicillins and metronidazole are drugs of choice for most species. Clindaymcyin is also highly effective against most species, but some resistance is present. as is chloramphenicol. 
Beta-lactamase production is a concern for some species (not typically C. perfringens), but beta-lactam/beta-lactamase inhibitor combinations should be effective.   
Activity of cephalosporins is variable and not ideal for most species (apart from C. perfringens, where reasonable activity is present).",""
"23","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20417","Clostridioides difficile","Contact Precautions","Toxin presence in intestinal contents demonstrated by ELISA.
Detection of toxin genes by PCR is more commonly used now but does not necessarily mean toxins are being produced.
Culture is largely restricted to research laboratories. 
Diagnosis is complicated by the unclear role of C. difficile in disease in dogs and cats, and shedding of the bacterium by many healthy animals.","Anaerobic, spore-forming, gram-positive rod.","Found in the intestinal tract of various animal species. 
While it is a clear pathogen in some (e.g. humans, horses), its clinical relevance in dogs and cats is unclear. In all species, a small percentage of healthy individuals can be shedding C. difficile. Antibiotic treatment is a major risk factor for shedding and disease.","Enterocolitis.","Treatment is not usually required in dogs and cats, as the clinical relevance of a positive test is unclear. 
Decision whether or not to treat should be based on clinical conditions, not test results, as per approaches to acute hemorrhagic and non-hemorrhagic diarrhea.
If treatment is required, metronidazole is the drug of choice. In humans, vancomycin and fidaxomicin are used for more severe disease but these are not likely indicated in dogs and cats.",""
"24","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20418","Clostridium perfringens","Standard Precautions","C. perfringens can be isolated using anaerobic culture. 
PCR can be used to detect the organism or specific toxin genes. 
ELISA is available to detect C. perfringens enterotoxin (CPE).","Anaerobic, spore-forming, gram-positive rod. 
Various types are present and are classified into Types A-E based on the production of major toxins. Additional toxins may be produced, such as enterotoxin, beta-2 toxin and NetF.","Common, if not ubiquitous, commensal of animals. It can be found in a large percentage of healthy individuals. Some strains (e.g. those that produce NetF) are more strongly associated with disease but can still sometimes be found in healthy individuals.","Gastroenteritis. NetF producing strains have been implicated as a cause of acute hemorrhagic diarrhea syndrome.
Soft tissue infections, often associated with trauma or other events that create localized anaerobic environments in tissue.
Rarely, infection of other sites from external contamination or bacterial translocation can occur.","Typically susceptible to most drugs that are effective against anaerobes including penicillins and metronidazole. These are the drugs of choice. 
Usually also susceptible to chloramphenicol and cephalosporins (all generations). 
Clindamycin is typically effective but resistance has been reported. 
Beta-lactamase production is rare but has been reported in humans (and would be susceptible to amoxicillin-clavulanic acid or other beta-lactam/beta-lactamase inhibitor combination). 
Moderate resistance to tetracyclines and trimethoprim-sulfa is present.",""
"25","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20420","Clostridium tetani","Standard Precautions","A presumptive diagnosis can be made based on clinical presentation. 
Cytology indicating Gram positive rods and spores supports the diagnosis. 
Culture or PCR can be used to identify the organism, but that can be challenging as a focal site of infection is not always apparent.","Spore-forming, gram-positive rods
 Neurotoxic clostridia","C. tetani endospores from soil or feces cause infection when introduced to wounds
 Deep wound with necrotic tissue highest risk
 Susceptibility to toxin varies between species. Disease is uncommon in dogs and very rare in cats but can occur.","Tetanus","Penicillins or metronidazole are drugs of choice for eliminating the toxin-producing tissue infection (but they do not reverse neurological damage that is present). 
Clindamycin, tetracyclines or potentiated penicillins are other options.",""
"26","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20422","Corynebacterium","Standard Precautions","Culture, but selective methods may be required.","Small, pleomorphic gram-positive cocci or rods.","Genus that contains various species that are common commensals. Isolation most often represents identification of commensals or contaminants, and discerning the clinical relevance of culture results from skin or mucosal sites is challenging. 
Some may also cause opportunistic infections, most often involving the skin and ears.
C. urealyticum is an important cause of encrusting cystitis. 
C. ulcerans as a potential (and possibly emerging) zoonotic pathogens","Otitis
 Pyoderma
 Encrusting cystitis
 Potentially opportunistic soft tissue infections (but rare)","Limited data are available and resistance to various drug classes can be encountered.
Tetracyclines tend to be good options. Fluoroquinolone and cephalosporin susceptibility is variable. 
Resistance to penicillins and trimethoprim-sulfa is common.
Clindamycin, tetracyclines, fluoroquinolones, and macrolides are options. 
Isolates are usually susceptible to amikacin (apart from C. urealyticum) and chloramphenicol, but these drugs are typically reserved as 2nd tier options because of safety and administration concerns.",""
"27","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/25453","Cryptococcus","No Precautions Listed","Cytology can be indicative of fungal infection and suggestive of cryptococcosis. The organism is readily grown in culture, but culture should not be attempted if fungi like Blastomyces, Histoplasma or Coccidioides are differential diagnoses. Serological and antigen tests (for serum or CSF) are often used for confirmation.","C. neoformans and C. gattii are the two main pathogenic species. Both are environmental organisms that can cause various opportunistic infections. Rhinosinusitis is a common presentation, especially in cats. It can also cause pulmonary disease and disseminated infections.","","","Azoles are most commonly used. Amphotericin B should be considered in cases of severe invasive disease, especially if there is CNS involvement. Flucytosine can be used in combination with amphotericin B, and azoles can be used as followup treatment after a course of amphotericin B +/- flucytosine. Fluconazole is often the azole of choice because of better penetration. Itraconazole is reasonable if there is no ocular or CNS involvement. 
Months of treatment are usually required.
In humans, the following guidelines have been suggested (Chang et al 2024):

 Meningitis: Liposomal amphotericin B plus flucytosine
 Disseminated, non-CNS and non-pulmonary: Liposomal amphotericin B plus flucytosine
 Severe pulmonary: Liposomal amphotericin B plus flucytosine
 Mild pulmonary: Fluconazole
 Skin/soft tissue: Fluconazole",""
"28","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20423","Dermatophilus congolensis","Standard Precautions","Cytological appearance can be suggestive, with characteristic chains of stacked cocci evident in impressions from underneath crusts. 
Given the rarity in dogs and cats, culture confirmation is recommended.","Filamentous, gram-positive, branching bacterium of the Dermatophilaceae family
 Produces motile zoospores","Mainly associated with horses, where it is a common cause of secondary skin infections","Dermatophilosis: exudative skin disease.
In cats, deep infections that extend into subcutaneous tissues, muscle and lymph nodes can occur.
Overall, disease is rare in dogs and cats.","Penicillins are the drugs of choice. Clavulanic acid is not required.
Tetracyclines maybe also be effective. 
Topical treatment (e.g. 2-4% chlorhexidine) bathing alone may be effective. Crusts should be removed when possible.",""
"29","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/22377","Elizabethkingia","No Precautions Listed","Culture","Elizabethkingia is a genus of Gram negative saprophytes.
There are three main species; E. meningoseptica (the most commonly reported pathogen), E. miricola and E. anophelis).
The geographic distribution of the bacterium is not well understood but it has been reported in many countries and is probably widely disseminated in water and soil.","Infections are typically environmental in origin. 
In humans, limited human-human infections have been identified. Hospital-associated infections can occur in humans, particularly hospital- and ventilator-associated pneumonia. However, most infections are sporadic and likely originate from environmental sources.","In humans, severe invasive infections such as meningitis (particularly infants) and pneumonia. 
Mortality rates are high (20-40%). 
Limited data are available for animals but skin and soft tissue infections (e.g. abscesses, wound infections, skin and ear infections) appear to be most common.","Elizabethkingia is intrinsically resistant to many antibiotic classes
Usually susceptible to:

 Trimethoprim-sulfonamide combinations
 Fluoroquinolones

Often susceptible to:

 Piperacillin-tazobactam
 Minocycline

Usually resistant to:

 Penicillins
 Potentiated penicillis
 Cephalosporins
 Chloramphenicol
 Doxycycline
 Aminoglycosides",""
